Línea,Código Equipo,Equipo,Orden,Desc. Orden,Descripción,Duración,revisado tiempo,revisado presupuesto,revisado repuestos,revisado repuestos programador,aprobacion programador,correo de programador,correo de planeador,Completado,Observaciones,Fecha Programada,imagen_observacion
TRATAMIENTO DE AGUA PARA ENVASADO,70949212,FILTRO RECHAZO OSMOSIS,13344880,Inspección semanal filtro rechazo osmosi,Estado del Filtro 1 Rechazo de las Osmosis Cod: 70949212,"0,5",si,si,si,si,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,701005,FILTRO 2 DE RECHAZO OSMOSIS,13344865,Inspección semanal filtro 2 rechazo osmo,Estado del Filtro 2 Rechazo de las Osmosis Cod: 701005,"0,5",si,si,si,si,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,701006,FILTRO 3 DE RECHAZO OSMOSIS,13344866,Inspección semanal filtro 3 rechazo osmo,Estado del Filtro 3 Rechazo de las Osmosis Cod: 701006,"0,5",si,si,si,si,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965525,COMPRESOR DE AIRE PISTONES,13344913,Inspección semanal copmpr arie pistones,Verificar presencia de ruido extraño,"0,05",si,si,si,si,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965525,COMPRESOR DE AIRE PISTONES,13344913,Inspección semanal copmpr arie pistones,Verificar estado del motor,"0,05",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965525,COMPRESOR DE AIRE PISTONES,13344913,Inspección semanal copmpr arie pistones,Verificarar nivel de aceite,"0,05",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965525,COMPRESOR DE AIRE PISTONES,13344913,Inspección semanal copmpr arie pistones,Verificar presencia de fuga de aceite,"0,05",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965525,COMPRESOR DE AIRE PISTONES,13344913,Inspección semanal copmpr arie pistones,Revisar soportes,"0,05",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965525,COMPRESOR DE AIRE PISTONES,13344913,Inspección semanal copmpr arie pistones,Revisar estado de tornilleria,"0,05",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965525,COMPRESOR DE AIRE PISTONES,13344913,Inspección semanal copmpr arie pistones,Revisar estado junta flexible,"0,05",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965525,COMPRESOR DE AIRE PISTONES,13344913,Inspección semanal copmpr arie pistones,Revisar estado de cableado,"0,05",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965525,COMPRESOR DE AIRE PISTONES,13344913,Inspección semanal copmpr arie pistones,Revisar estado de las correas,"0,05",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965525,COMPRESOR DE AIRE PISTONES,13344913,Inspección semanal copmpr arie pistones,Revisión limpieza extractor IO climatizador tablero eléctrico,"0,05",,,,,,,,,,,
