Línea,Código Equipo,Equipo,Orden,Desc. Orden,Descripción,Completado,Observaciones,Fecha Programada,Duración,revisado tiempo,revisado presupuesto,revisado repuestos,revisado repuestos programador,aprobacion programador,correo de programador,correo de planeador,imagen_observacion
EQUIPOS PARA  ENVASADO JUGOS HIT,900053,COOLER,13347666,INSPECCION SEMANAL OPERACION COOLER,ESTADO Y FUNCIONAMIENTO DE COMPONENTES ELECTRICOS,si,CUMPLE,"10/5/2024, 10:31:09","0,0666666667",,,,,si,.,.,CUMPLE
EQUIPOS PARA  ENVASADO JUGOS HIT,710307,DEPALETIZADORA,13347651,INSPECCION SEMANAL DEPALETIZADORA,FUGAS DE AIRE/ ACEITE,si,CUMPLE,"10/5/2024, 10:31:37","0,1666666667",,,,,si,.,.,CUMPLE
EQUIPOS PARA  ENVASADO JUGOS HIT,710307,DEPALETIZADORA,13347651,INSPECCION SEMANAL DEPALETIZADORA,ESTADO Y FUNCIONAMIENTO DE COMPONENTES MECANICOS,si,CUMPLE,"10/5/2024, 10:31:51","0,1666666667",,,,,si,.,.,CUMPLE
EQUIPOS PARA  ENVASADO JUGOS HIT,710307,DEPALETIZADORA,13347651,INSPECCION SEMANAL DEPALETIZADORA,ESTADO Y FUNCIONAMIENTO DE COMPONENTES ELECTRICOS,si,CUMPLE,"10/5/2024, 10:31:57","0,1666666667",,,,,si,.,.,CUMPLE
EQUIPOS PARA  ENVASADO JUGOS HIT,900049,LAVADORA DE CAJAS,13347655,INSPECCION SEMANAL LAVADORA CAJAS,FUGAS DE AIRE/ ACEITE,si,CUMPLE,"8/5/2024, 11:58:06","0,3333333333",si,si,si,si,si,.,.,CUMPLE
EQUIPOS PARA  ENVASADO JUGOS HIT,900049,LAVADORA DE CAJAS,13347655,INSPECCION SEMANAL LAVADORA CAJAS,ESTADO Y FUNCIONAMIENTO DE COMPONENTES MECANICOS,si,CUMPLE,"8/5/2024, 11:57:54","0,3333333333",,,,,si,.,.,CUMPLE
EQUIPOS PARA  ENVASADO JUGOS HIT,900049,LAVADORA DE CAJAS,13347655,INSPECCION SEMANAL LAVADORA CAJAS,ESTADO Y FUNCIONAMIENTO DE COMPONENTES ELECTRICOS,si,CUMPLE,"8/5/2024, 11:58:14","0,3333333333",,,,,si,.,.,CUMPLE
EQUIPOS PARA  ENVASADO JUGOS HIT,900055,TRANSPORTADOR DE BOTELLAS,13347663,INSPECCION SEMANAL TRANSPORTADORES,FUGAS DE AIRE/ ACEITE,si,CUMPLE,"8/5/2024, 11:58:25","0,0666666667",,,,,si,.,.,CUMPLE
EQUIPOS PARA  ENVASADO JUGOS HIT,900055,TRANSPORTADOR DE BOTELLAS,13347663,INSPECCION SEMANAL TRANSPORTADORES,ESTADO Y FUNCIONAMIENTO DE COMPONENTES MECANICOS,si,CUMPLE,"8/5/2024, 11:58:34","0,0666666667",,,,,si,.,.,CUMPLE
EQUIPOS PARA  ENVASADO JUGOS HIT,900055,TRANSPORTADOR DE BOTELLAS,13347663,INSPECCION SEMANAL TRANSPORTADORES,ESTADO Y FUNCIONAMIENTO DE COMPONENTES ELECTRICOS,si,CUMPLE,"8/5/2024, 11:58:54","0,0666666667",,,,,si,.,.,CUMPLE
EQUIPOS PARA  ENVASADO JUGOS HIT,90005502,TUNEL CALENTAMIENTO BOTELLAS HIT,13347815,INSPECCION SEMANAL OPERACION TUNEL,AJUSTE GUÍAS,si,CUMPLE,"8/5/2024, 11:58:42","0,1",,,,,si,.,.,CUMPLE
EQUIPOS PARA  ENVASADO JUGOS HIT,90005502,TUNEL CALENTAMIENTO BOTELLAS HIT,13347815,INSPECCION SEMANAL OPERACION TUNEL,ESTADO TRANSPORTADOR,si,CUMPLE,"8/5/2024, 11:58:47","0,1",,,,,si,.,.,CUMPLE
EQUIPOS PARA  PREPARACION DE JARABE,699606,SALA DE PREPARACION DE JARABE,13347650,INSPECCION SEMANAL OPERACION SALA DE JAR,FUGAS DE AIRE/ ACEITE,si,CUMPLE,"17/5/2024, 14:28:48","0,1666666667",,,,,si,.,.,CUMPLE
EQUIPOS PARA  PREPARACION DE JARABE,699606,SALA DE PREPARACION DE JARABE,13347650,INSPECCION SEMANAL OPERACION SALA DE JAR,ESTADO Y FUNCIONAMIENTO DE COMPONENTES MECANICOS,si,CUMPLE,"17/5/2024, 14:28:18","0,1666666667",,,,,si,.,.,CUMPLE
EQUIPOS PARA PREPARACION JUGOS HIT,900056,SISTEMA A (DRUMP DUMPER ),13347657,INSPECCION SEMANAL SISTEMA A,FUGAS DE AIRE/ ACEITE,si,"Tapón de aceite reductor del cilindro triturador oxidado y desgastado, requiere cambio.............",,"0,0666666667",si,si,si,si,si,Felix Duban Lugo ,Oswaldo Baquero Saenz,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/aTmswOOkYXClpN9hgWXL/pub/NIMMD4Q8CDNwx8tKVU7u.jpg
EQUIPOS PARA PREPARACION JUGOS HIT,900056,SISTEMA A (DRUMP DUMPER ),13347657,INSPECCION SEMANAL SISTEMA A,ESTADO Y FUNCIONAMIENTO DE COMPONENTES MECANICOS,si,CUMPLE,"18/5/2024, 10:55:53","0,0666666667",si,si,si,si,si,.,.,CUMPLE
EQUIPOS PARA PREPARACION JUGOS HIT,900056,SISTEMA A (DRUMP DUMPER ),13347657,INSPECCION SEMANAL SISTEMA A,ESTADO Y FUNCIONAMIENTO DE COMPONENTES ELECTRICOS,si,"Motor sin tapa de ventilador y oxidado (falta pintura), bornera suelta",,"0,0666666667",si,si,si,si,si,Felix Duban Lugo ,Oswaldo Baquero Saenz,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/aTmswOOkYXClpN9hgWXL/pub/VZURRqlbrMrbCPwl5K7E.jpg
EQUIPOS PARA PREPARACION JUGOS HIT,900057,SISTEMA B (RECONSTITUCION DE PULPA ),13347656,INSPECCION SEMANAL SISTEMA B (RECONSTITU,FUGAS DE AIRE/ ACEITE,si,CUMPLE,"8/5/2024, 15:13:57","0,0666666667",si,si,si,si,si,.,.,CUMPLE
EQUIPOS PARA PREPARACION JUGOS HIT,900057,SISTEMA B (RECONSTITUCION DE PULPA ),13347656,INSPECCION SEMANAL SISTEMA B (RECONSTITU,ESTADO Y FUNCIONAMIENTO DE COMPONENTES MECANICOS,si,CUMPLE,"8/5/2024, 15:14:15","0,0666666667",,,,,si,.,.,CUMPLE
EQUIPOS PARA PREPARACION JUGOS HIT,900057,SISTEMA B (RECONSTITUCION DE PULPA ),13347656,INSPECCION SEMANAL SISTEMA B (RECONSTITU,ESTADO Y FUNCIONAMIENTO DE COMPONENTES ELECTRICOS,si,CUMPLE,"8/5/2024, 15:14:22","0,0666666667",,,,,si,.,.,CUMPLE
EQUIPOS PARA PREPARACION JUGOS HIT,900059,SISTEMA D (PREPARACION  ),13347740,INSPECCION SEMANAL SISTEMA D (PREPARACIO,FUGAS DE AIRE/ ACEITE,si,CUMPLE,"15/5/2024, 15:09:37","0,0666666667",si,si,si,si,si,.,.,CUMPLE
EQUIPOS PARA PREPARACION JUGOS HIT,900059,SISTEMA D (PREPARACION  ),13347740,INSPECCION SEMANAL SISTEMA D (PREPARACIO,ESTADO Y FUNCIONAMIENTO DE COMPONENTES MECANICOS,si,CUMPLE,"15/5/2024, 19:53:26","0,0666666667",,,,,si,.,.,CUMPLE
EQUIPOS PARA PREPARACION JUGOS HIT,900059,SISTEMA D (PREPARACION  ),13347740,INSPECCION SEMANAL SISTEMA D (PREPARACIO,ESTADO Y FUNCIONAMIENTO DE COMPONENTES ELECTRICOS,si,CUMPLE,"15/5/2024, 15:11:18","0,0666666667",,,,,si,.,.,CUMPLE
EQUIPOS PARA PREPARACION JUGOS HIT,900060,SISTEMA E (PASTEURIZA. Y ULTRA PASTER ),13347653,INSPECCION SEMANAL SISTEMA E (PASTEURIZA,FUGAS DE AIRE/ ACEITE,,,,"0,0666666667",si,si,si,si,,,,
EQUIPOS PARA PREPARACION JUGOS HIT,900060,SISTEMA E (PASTEURIZA. Y ULTRA PASTER ),13347653,INSPECCION SEMANAL SISTEMA E (PASTEURIZA,ESTADO Y FUNCIONAMIENTO DE COMPONENTES MECANICOS,,,,"0,0666666667",,,,,,,,
EQUIPOS PARA PREPARACION JUGOS HIT,900060,SISTEMA E (PASTEURIZA. Y ULTRA PASTER ),13347653,INSPECCION SEMANAL SISTEMA E (PASTEURIZA,ESTADO Y FUNCIONAMIENTO DE COMPONENTES ELECTRICOS,,,,"0,0666666667",,,,,,,,
EQUIPOS PARA PREPARACION JUGOS HIT,900061,SISTEMA F (CIP),13347654,INSPECCION SEMANAL  SISTEMA F (CIP),FUGAS DE AIRE/ ACEITE,,,,"0,0666666667",,,,,,,,
EQUIPOS PARA PREPARACION JUGOS HIT,900061,SISTEMA F (CIP),13347654,INSPECCION SEMANAL  SISTEMA F (CIP),ESTADO Y FUNCIONAMIENTO DE COMPONENTES MECANICOS,,,,"0,0666666667",,,,,,,,
EQUIPOS PARA PREPARACION JUGOS HIT,900061,SISTEMA F (CIP),13347654,INSPECCION SEMANAL  SISTEMA F (CIP),ESTADO Y FUNCIONAMIENTO DE COMPONENTES ELECTRICOS,,,,"0,0666666667",,,,,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,650005,CALDERA DE 400 BHP,13347729,INSPECCION SEMANAL CALDERA DE 400 BHP,FUGAS DE AIRE/ ACEITE,si,CUMPLE,"18/5/2024, 8:21:48","0,0666666667",si,si,si,si,si,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,650005,CALDERA DE 400 BHP,13347729,INSPECCION SEMANAL CALDERA DE 400 BHP,ESTADO Y FUNCIONAMIENTO DE COMPONENTES MECANICOS,si,CUMPLE,"18/5/2024, 8:22:08","0,0666666667",,,,,si,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,650005,CALDERA DE 400 BHP,13347729,INSPECCION SEMANAL CALDERA DE 400 BHP,ESTADO Y FUNCIONAMIENTO DE COMPONENTES ELECTRICOS,si,CUMPLE,"18/5/2024, 8:22:15","0,0666666667",,,,,si,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,900062,CALDERA DE 500 BHP,13347728,INSPECCION SEMANAL CALDERA DE 500 BHP,FUGAS DE AIRE/ ACEITE,si,CUMPLE,"18/5/2024, 8:22:39","0,0666666667",,,,,si,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,900062,CALDERA DE 500 BHP,13347728,INSPECCION SEMANAL CALDERA DE 500 BHP,ESTADO Y FUNCIONAMIENTO DE COMPONENTES MECANICOS,si,CUMPLE,"18/5/2024, 8:22:46","0,0666666667",,,,,si,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,900062,CALDERA DE 500 BHP,13347728,INSPECCION SEMANAL CALDERA DE 500 BHP,ESTADO Y FUNCIONAMIENTO DE COMPONENTES ELECTRICOS,si,CUMPLE,"18/5/2024, 8:22:52","0,0666666667",,,,,si,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,649579,COMPRESOR DE AIRE ATLAS COPCO,13347731,INSPECCION SEMANAL COMPRESOR DE AIRE ATL,FUGAS DE AIRE/ ACEITE,si,CUMPLE,"18/5/2024, 8:23:16","0,0666666667",,,,,si,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,649579,COMPRESOR DE AIRE ATLAS COPCO,13347731,INSPECCION SEMANAL COMPRESOR DE AIRE ATL,ESTADO Y FUNCIONAMIENTO DE COMPONENTES MECANICOS,si,CUMPLE,"18/5/2024, 8:23:34","0,0666666667",,,,,si,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,649579,COMPRESOR DE AIRE ATLAS COPCO,13347731,INSPECCION SEMANAL COMPRESOR DE AIRE ATL,ESTADO Y FUNCIONAMIENTO DE COMPONENTES ELECTRICOS,si,CUMPLE,"18/5/2024, 8:23:42","0,0666666667",,,,,si,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,829074,COMPRESOR TORNILLO AIRE,13347838,INSPECCION SEMANAL COMPRESOR DE AIRE ATL,FUGAS DE AIRE/ ACEITE,si,CUMPLE,"18/5/2024, 8:27:48","0,0666666667",,,,,si,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,829074,COMPRESOR TORNILLO AIRE,13347838,INSPECCION SEMANAL COMPRESOR DE AIRE ATL,ESTADO Y FUNCIONAMIENTO DE COMPONENTES MECANICOS,si,CUMPLE,"18/5/2024, 8:27:18","0,0666666667",,,,,si,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,829074,COMPRESOR TORNILLO AIRE,13347838,INSPECCION SEMANAL COMPRESOR DE AIRE ATL,ESTADO Y FUNCIONAMIENTO DE COMPONENTES ELECTRICOS,si,CUMPLE,"18/5/2024, 8:27:01","0,0666666667",,,,,si,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,829073,COMPRESOR TORNILLO AIRE VEL. VARIABLE,13347841,INSPECCION SEMANAL COMPRESOR 829073,FUGAS DE AIRE/ ACEITE,si,CUMPLE,"18/5/2024, 8:25:58","0,0666666667",,,,,si,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,829073,COMPRESOR TORNILLO AIRE VEL. VARIABLE,13347841,INSPECCION SEMANAL COMPRESOR 829073,ESTADO Y FUNCIONAMIENTO DE COMPONENTES MECANICOS,si,CUMPLE,"18/5/2024, 8:24:27","0,0666666667",,,,,si,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,829073,COMPRESOR TORNILLO AIRE VEL. VARIABLE,13347841,INSPECCION SEMANAL COMPRESOR 829073,ESTADO Y FUNCIONAMIENTO DE COMPONENTES ELECTRICOS,si,CUMPLE,"18/5/2024, 8:24:19","0,0666666667",,,,,si,.,.,CUMPLE
"LINEA DE ENVASADO 1.25 l, 1,5 l  Y  2 l",828040,DESEMPACADORA,13347911,INSPECCION SEMANAL EMPACADORA 828743,FUGAS DE AIRE/ ACEITE,,,,"0,3333333333",si,si,si,si,,,,
"LINEA DE ENVASADO 1.25 l, 1,5 l  Y  2 l",828040,DESEMPACADORA,13347911,INSPECCION SEMANAL EMPACADORA 828743,ESTADO Y FUNCIONAMIENTO DE COMPONENTES MECANICOS,,,,"0,3333333333",si,si,si,si,,,,
"LINEA DE ENVASADO 1.25 l, 1,5 l  Y  2 l",828040,DESEMPACADORA,13347911,INSPECCION SEMANAL EMPACADORA 828743,ESTADO Y FUNCIONAMIENTO DE COMPONENTES ELECTRICOS,,,,"0,3333333333",si,si,si,si,,,,
"LINEA DE ENVASADO 1.25 l, 1,5 l  Y  2 l",599561,INSPECTOR ELECTRONICO,13347904,INSPECCION SEMANAL OPERACION DEL INSPECT,FUGAS DE AIRE/ ACEITE,si,CUMPLE,"8/5/2024, 11:18:32","0,3333333333",si,si,si,si,si,.,.,CUMPLE
"LINEA DE ENVASADO 1.25 l, 1,5 l  Y  2 l",599561,INSPECTOR ELECTRONICO,13347904,INSPECCION SEMANAL OPERACION DEL INSPECT,ESTADO Y FUNCIONAMIENTO DE COMPONENTES MECANICOS,si,CUMPLE,"8/5/2024, 11:18:36","0,3333333333",,,,,si,.,.,CUMPLE
