Línea,Código Equipo,Equipo,Orden,Desc. Orden,Descripción,Duración,revisado tiempo,revisado presupuesto,revisado repuestos,revisado repuestos programador,Completado,Observaciones,Fecha Programada,aprobacion programador,correo de programador,correo de planeador,imagen_observacion
0198-LINEA DE PRODUCCION 6 PET,519560,LLENADORA TRIBLOCK (RINSE-LLENADORA-CORONADOR) ,13349809,INSPECCIÓN SEMANAL LLENADORA L6 519560,Revisar boquillas Rinse,"0,0833333333",,,,,si,CUMPLE,"21/5/2024, 23:55:29",si,.,.,CUMPLE
0198-LINEA DE PRODUCCION 6 PET,519560,LLENADORA TRIBLOCK (RINSE-LLENADORA-CORONADOR) ,13349809,INSPECCIÓN SEMANAL LLENADORA L6 519560,Revisar tanque abastecimiento de Aloe,"0,0833333333",,,,,si,CUMPLE,"21/5/2024, 23:55:39",si,.,.,CUMPLE
0198-LINEA DE PRODUCCION 6 PET,519560,LLENADORA TRIBLOCK (RINSE-LLENADORA-CORONADOR) ,13349809,INSPECCIÓN SEMANAL LLENADORA L6 519560,Revisar dosificador de Aloe,"0,0833333333",,,,,si,CUMPLE,"21/5/2024, 23:55:45",si,.,.,CUMPLE
0198-LINEA DE PRODUCCION 6 PET,519560,LLENADORA TRIBLOCK (RINSE-LLENADORA-CORONADOR) ,13349809,INSPECCIÓN SEMANAL LLENADORA L6 519560,Revisar válvulas y boquillas de llenado,"0,0833333333",,,,,si,CUMPLE,"21/5/2024, 23:56:21",si,.,.,CUMPLE
0198-LINEA DE PRODUCCION 6 PET,519560,LLENADORA TRIBLOCK (RINSE-LLENADORA-CORONADOR) ,13349809,INSPECCIÓN SEMANAL LLENADORA L6 519560,Revisar porta-botellas llenadora,"0,0833333333",,,,,si,CUMPLE,"21/5/2024, 23:56:26",si,.,.,CUMPLE
0198-LINEA DE PRODUCCION 6 PET,519560,LLENADORA TRIBLOCK (RINSE-LLENADORA-CORONADOR) ,13349809,INSPECCIÓN SEMANAL LLENADORA L6 519560,Revisar estrellas y transportador,"0,0833333333",,,,,si,CUMPLE,"21/5/2024, 23:55:57",si,.,.,CUMPLE
0198-LINEA DE PRODUCCION 6 PET,519560,LLENADORA TRIBLOCK (RINSE-LLENADORA-CORONADOR) ,13349809,INSPECCIÓN SEMANAL LLENADORA L6 519560,Revisar tanque de retorno,"0,0833333333",,,,,si,CUMPLE,"21/5/2024, 23:56:31",si,.,.,CUMPLE
0198-LINEA DE PRODUCCION 6 PET,519560,LLENADORA TRIBLOCK (RINSE-LLENADORA-CORONADOR) ,13349809,INSPECCIÓN SEMANAL LLENADORA L6 519560,REVISAR ROSCADORES,"0,0833333333",,,,,si,CUMPLE,"21/5/2024, 23:56:02",si,.,.,CUMPLE
0198-LINEA DE PRODUCCION 6 PET,519560,LLENADORA TRIBLOCK (RINSE-LLENADORA-CORONADOR) ,13349809,INSPECCIÓN SEMANAL LLENADORA L6 519560,Inspeccionar plato distribuidor de tapa,"0,0833333333",,,,,si,CUMPLE,"21/5/2024, 23:56:37",si,.,.,CUMPLE
0198-LINEA DE PRODUCCION 6 PET,519560,LLENADORA TRIBLOCK (RINSE-LLENADORA-CORONADOR) ,13349809,INSPECCIÓN SEMANAL LLENADORA L6 519560,"Revisar elevador, carrilera  y tolva de acumulación de tapa","0,0833333333",,,,,si,CUMPLE,"21/5/2024, 23:56:42",si,.,.,CUMPLE
0198-LINEA DE PRODUCCION 6 PET,820081,ETIQUETADORA,13349821,INSPECCIÓN SEMANAL ETIQUETADORA 820081,INSPECCION GENERAL SISTEMA MECANICO,"0,3333333333",,,,,,,,,,,
0198-LINEA DE PRODUCCION 6 PET,820081,ETIQUETADORA,13349821,INSPECCIÓN SEMANAL ETIQUETADORA 820081,Inspeccionar túnel de termo-encogido,"0,3333333333",,,,,,,,,,,
0198-LINEA DE PRODUCCION 6 PET,820081,ETIQUETADORA,13349821,INSPECCIÓN SEMANAL ETIQUETADORA 820081,REVISAR SISTEMA DE CONTROL Y POTENCIA,"0,3333333333",,,,,,,,,,,
0198-LINEA DE PRODUCCION 6 PET,599604,INSPECTOR FILTEC ,13342415,INSPECCIÓN SEMANAL FILTEC L6 599604,REVISAR CANALES DE RECHAZO,"0,1666666667",,,,,,,,,,,
0198-LINEA DE PRODUCCION 6 PET,599604,INSPECTOR FILTEC ,13342415,INSPECCIÓN SEMANAL FILTEC L6 599604,REVISAR SISTEMA NEUMATICO,"0,1666666667",,,,,,,,,,,
0198-LINEA DE PRODUCCION 6 PET,599604,INSPECTOR FILTEC ,13342415,INSPECCIÓN SEMANAL FILTEC L6 599604,REVISAR SISTEMA DE CONTROL Y POTENCIA,"0,1666666667",,,,,,,,,,,
EQUIPOS PARA PREPARACION JUGOS HIT,900042,SISTEMA A  (DUMPER) ,13349856,INSPECCION SEMANAL SISTEMA A,REVISAR BOMBA POSITIVA,"0,3333333333",,,,,si,CUMPLE,"21/5/2024, 10:01:29",si,.,.,CUMPLE
EQUIPOS PARA PREPARACION JUGOS HIT,900042,SISTEMA A  (DUMPER) ,13349856,INSPECCION SEMANAL SISTEMA A,REVISAR SISTEMA NEUMATICO,"0,3333333333",,,,,si,CUMPLE,"21/5/2024, 10:01:42",si,.,.,CUMPLE
EQUIPOS PARA PREPARACION JUGOS HIT,900042,SISTEMA A  (DUMPER) ,13349856,INSPECCION SEMANAL SISTEMA A,REVISAR SISTEMA DE CONTROL Y POTENCIA,"0,3333333333",,,,,si,CUMPLE,"21/5/2024, 10:01:50",si,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,709719,TANQUE DE SODA CAUSTICA,13349862,INSPECCION SEMANAL TANQUE DE SODA 709719,VERIFICACIÓN ESTADO DEL TANQUE,"0,3333333333",,,,,,,,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,709719,TANQUE DE SODA CAUSTICA,13349862,INSPECCION SEMANAL TANQUE DE SODA 709719,VERIFICACIÓN  TUBERÍAS Y FUGAS,"0,3333333333",,,,,,,,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,709719,TANQUE DE SODA CAUSTICA,13349862,INSPECCION SEMANAL TANQUE DE SODA 709719,VERIFICAR ESTADO DE BOMBAS,"0,3333333333",,,,,,,,,,,
EQUIPOS PARA PREPARACION JUGOS HIT,901017,TANQUE AGUA FRESCA TETRA PAK ,13349867,INSPECCION SEMANAL TANQUE AGUA FRESCA,Estado bomba y valvulas,"0,3333333333",,,,,si,CUMPLE,"21/5/2024, 12:11:28",si,.,.,CUMPLE
EQUIPOS PARA PREPARACION JUGOS HIT,901017,TANQUE AGUA FRESCA TETRA PAK ,13349867,INSPECCION SEMANAL TANQUE AGUA FRESCA,Sistema Neumático,"0,3333333333",,,,,si,CUMPLE,"21/5/2024, 10:02:22",si,.,.,CUMPLE
EQUIPOS PARA PREPARACION JUGOS HIT,901017,TANQUE AGUA FRESCA TETRA PAK ,13349867,INSPECCION SEMANAL TANQUE AGUA FRESCA,REVISAR SISTEMA DE CONTROL Y POTENCIA,"0,3333333333",,,,,si,CUMPLE,"21/5/2024, 12:17:35",si,.,.,CUMPLE
EQUIPOS PARA PREPARACION JUGOS HIT,901009,TANQUE PREPARACION #2,13349864,INSPECCION SEMANAL TANQUE MEZCLA #2 TP,REVISAR REDUCTOR Y AGITADOR,"0,3333333333",,,,,si,CUMPLE,"21/5/2024, 13:12:50",si,.,.,CUMPLE
EQUIPOS PARA PREPARACION JUGOS HIT,901009,TANQUE PREPARACION #2,13349864,INSPECCION SEMANAL TANQUE MEZCLA #2 TP,REVISAR MOTORES Y SISTEMA DE CONTROL,"0,3333333333",,,,,si,CUMPLE,"21/5/2024, 13:13:10",si,.,.,CUMPLE
EQUIPOS PARA PREPARACION JUGOS HIT,901009,TANQUE PREPARACION #2,13349864,INSPECCION SEMANAL TANQUE MEZCLA #2 TP,REVISAR SISTEMA NEUMATICO,"0,3333333333",,,,,,,,,,,
EQUIPOS PARA PREPARACION JUGOS HIT,901011,TANQUE PREPARACION #4,13349865,INSPECCION SEMANAL TANQUE MEZCLA 4 TP,REVISAR REDUCTOR Y AGITADOR,"0,3333333333",,,,,si,CUMPLE,"21/5/2024, 10:02:34",si,.,.,CUMPLE
EQUIPOS PARA PREPARACION JUGOS HIT,901011,TANQUE PREPARACION #4,13349865,INSPECCION SEMANAL TANQUE MEZCLA 4 TP,REVISAR MOTORES Y SISTEMA DE CONTROL,"0,3333333333",,,,,si,CUMPLE,"21/5/2024, 10:02:43",si,.,.,CUMPLE
EQUIPOS PARA PREPARACION JUGOS HIT,901011,TANQUE PREPARACION #4,13349865,INSPECCION SEMANAL TANQUE MEZCLA 4 TP,REVISAR SISTEMA NEUMATICO,"0,3333333333",,,,,si,CUMPLE,"21/5/2024, 10:02:48",si,.,.,CUMPLE
EQUIPOS PARA PREPARACION JUGOS HIT,901003,TOLVA / TORNILLO,13349870,INSPECCION SEMANAL TOLVA TORNILLO 901003,REVISAR SISTEMA NEUMATICO,"0,25",,,,,si,CUMPLE,"21/5/2024, 12:10:24",si,.,.,CUMPLE
EQUIPOS PARA PREPARACION JUGOS HIT,901005,TANQUE BUFFER JARABE SIMPLE,13349869,INSPECCION SEMANAL TANQUE BUFFER 901005,REVISAR MOTOR AGITADOR ,"0,3333333333",,,,,si,CUMPLE,"21/5/2024, 13:11:44",si,.,.,CUMPLE
EQUIPOS PARA PREPARACION JUGOS HIT,901005,TANQUE BUFFER JARABE SIMPLE,13349869,INSPECCION SEMANAL TANQUE BUFFER 901005,REVISAR SISTEMA NEUMATICO,"0,3333333333",,,,,,,,,,,
EQUIPOS PARA PREPARACION JUGOS HIT,901005,TANQUE BUFFER JARABE SIMPLE,13349869,INSPECCION SEMANAL TANQUE BUFFER 901005,REVISAR SISTEMA DE CONTROL Y POTENCIA,"0,3333333333",,,,,si,CUMPLE,"21/5/2024, 13:11:55",si,.,.,CUMPLE
